Medium,Transport Type,Vehicle Type,Drive,Frequency,Measure,Unit
air,passenger,all,air_jet_fuel,Yearly,Energy,Pj
air,passenger,all,air_kerosene,Yearly,Energy,Pj
air,passenger,all,air_lpg,Yearly,Energy,Pj
rail,passenger,all,rail_coal,Yearly,Energy,Pj
rail,passenger,all,rail_diesel,Yearly,Energy,Pj
rail,passenger,all,rail_electricity,Yearly,Energy,Pj
rail,passenger,all,rail_fuel_oil,Yearly,Energy,Pj
rail,passenger,all,rail_gasoline,Yearly,Energy,Pj
rail,passenger,all,rail_kerosene,Yearly,Energy,Pj
rail,passenger,all,rail_lpg,Yearly,Energy,Pj
ship,passenger,all,ship_ammonia,Yearly,Energy,Pj
ship,passenger,all,ship_diesel,Yearly,Energy,Pj
ship,passenger,all,ship_fuel_oil,Yearly,Energy,Pj
ship,passenger,all,ship_gasoline,Yearly,Energy,Pj
ship,passenger,all,ship_kerosene,Yearly,Energy,Pj
ship,passenger,all,ship_lpg,Yearly,Energy,Pj
air,freight,all,air_av_gas,Yearly,Energy,Pj
air,freight,all,air_diesel,Yearly,Energy,Pj
air,freight,all,air_fuel_oil,Yearly,Energy,Pj
air,freight,all,air_gasoline,Yearly,Energy,Pj
air,freight,all,air_jet_fuel,Yearly,Energy,Pj
air,freight,all,air_kerosene,Yearly,Energy,Pj
air,freight,all,air_lpg,Yearly,Energy,Pj
rail,freight,all,rail_coal,Yearly,Energy,Pj
rail,freight,all,rail_diesel,Yearly,Energy,Pj
rail,freight,all,rail_electricity,Yearly,Energy,Pj
rail,freight,all,rail_fuel_oil,Yearly,Energy,Pj
rail,freight,all,rail_gasoline,Yearly,Energy,Pj
rail,freight,all,rail_kerosene,Yearly,Energy,Pj
rail,freight,all,rail_lpg,Yearly,Energy,Pj
ship,freight,all,ship_ammonia,Yearly,Energy,Pj
ship,freight,all,ship_diesel,Yearly,Energy,Pj
ship,freight,all,ship_fuel_oil,Yearly,Energy,Pj
ship,freight,all,ship_gasoline,Yearly,Energy,Pj
ship,freight,all,ship_kerosene,Yearly,Energy,Pj
ship,freight,all,ship_lpg,Yearly,Energy,Pj
rail,freight,all,rail_natural_gas,Yearly,Energy,Pj
rail,passenger,all,rail_natural_gas,Yearly,Energy,Pj
ship,passenger,all,ship_electric,Yearly,Energy,Pj
ship,freight,all,ship_electric,Yearly,Energy,Pj
air,freight,all,air_electric,Yearly,Energy,Pj
air,passenger,all,air_electric,Yearly,Energy,Pj
air,freight,all,air_hydrogen,Yearly,Energy,Pj
air,passenger,all,air_hydrogen,Yearly,Energy,Pj
ship,freight,all,ship_lng,Yearly,Energy,Pj
ship,passenger,all,ship_lng,Yearly,Energy,Pj
ship,freight,all,ship_hydrogen,Yearly,Energy,Pj
ship,passenger,all,ship_hydrogen,Yearly,Energy,Pj
air,passenger,all,air_av_gas,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_diesel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_fuel_oil,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_gasoline,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_jet_fuel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_kerosene,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_lpg,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_coal,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_diesel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_electricity,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_fuel_oil,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_gasoline,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_kerosene,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_lpg,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_ammonia,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_diesel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_fuel_oil,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_gasoline,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_kerosene,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_lpg,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_av_gas,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_diesel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_fuel_oil,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_gasoline,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_jet_fuel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_kerosene,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_lpg,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_coal,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_diesel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_electricity,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_fuel_oil,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_gasoline,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_kerosene,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_lpg,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_ammonia,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_diesel,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_fuel_oil,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_gasoline,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_kerosene,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_lpg,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,freight,all,rail_natural_gas,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
rail,passenger,all,rail_natural_gas,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_electric,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_electric,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_electric,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_electric,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,freight,all,air_hydrogen,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_hydrogen,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_lng,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_lng,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,freight,all,ship_hydrogen,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
ship,passenger,all,ship_hydrogen,Yearly,Intensity,Pj_per_passenger_or_freight_tonne_km
air,passenger,all,air_av_gas,Yearly,Average_age,Age
air,passenger,all,air_diesel,Yearly,Average_age,Age
air,passenger,all,air_fuel_oil,Yearly,Average_age,Age
air,passenger,all,air_gasoline,Yearly,Average_age,Age
air,passenger,all,air_jet_fuel,Yearly,Average_age,Age
air,passenger,all,air_kerosene,Yearly,Average_age,Age
air,passenger,all,air_lpg,Yearly,Average_age,Age
rail,passenger,all,rail_coal,Yearly,Average_age,Age
rail,passenger,all,rail_diesel,Yearly,Average_age,Age
rail,passenger,all,rail_electricity,Yearly,Average_age,Age
rail,passenger,all,rail_fuel_oil,Yearly,Average_age,Age
rail,passenger,all,rail_gasoline,Yearly,Average_age,Age
rail,passenger,all,rail_kerosene,Yearly,Average_age,Age
rail,passenger,all,rail_lpg,Yearly,Average_age,Age
ship,passenger,all,ship_ammonia,Yearly,Average_age,Age
ship,passenger,all,ship_diesel,Yearly,Average_age,Age
ship,passenger,all,ship_fuel_oil,Yearly,Average_age,Age
ship,passenger,all,ship_gasoline,Yearly,Average_age,Age
ship,passenger,all,ship_kerosene,Yearly,Average_age,Age
ship,passenger,all,ship_lpg,Yearly,Average_age,Age
air,freight,all,air_av_gas,Yearly,Average_age,Age
air,freight,all,air_diesel,Yearly,Average_age,Age
air,freight,all,air_fuel_oil,Yearly,Average_age,Age
air,freight,all,air_gasoline,Yearly,Average_age,Age
air,freight,all,air_jet_fuel,Yearly,Average_age,Age
air,freight,all,air_kerosene,Yearly,Average_age,Age
air,freight,all,air_lpg,Yearly,Average_age,Age
rail,freight,all,rail_coal,Yearly,Average_age,Age
rail,freight,all,rail_diesel,Yearly,Average_age,Age
rail,freight,all,rail_electricity,Yearly,Average_age,Age
rail,freight,all,rail_fuel_oil,Yearly,Average_age,Age
rail,freight,all,rail_gasoline,Yearly,Average_age,Age
rail,freight,all,rail_kerosene,Yearly,Average_age,Age
rail,freight,all,rail_lpg,Yearly,Average_age,Age
ship,freight,all,ship_ammonia,Yearly,Average_age,Age
ship,freight,all,ship_diesel,Yearly,Average_age,Age
ship,freight,all,ship_fuel_oil,Yearly,Average_age,Age
ship,freight,all,ship_gasoline,Yearly,Average_age,Age
ship,freight,all,ship_kerosene,Yearly,Average_age,Age
ship,freight,all,ship_lpg,Yearly,Average_age,Age
rail,freight,all,rail_natural_gas,Yearly,Average_age,Age
rail,passenger,all,rail_natural_gas,Yearly,Average_age,Age
ship,passenger,all,ship_electric,Yearly,Average_age,Age
ship,freight,all,ship_electric,Yearly,Average_age,Age
air,freight,all,air_electric,Yearly,Average_age,Age
air,passenger,all,air_electric,Yearly,Average_age,Age
air,freight,all,air_hydrogen,Yearly,Average_age,Age
air,passenger,all,air_hydrogen,Yearly,Average_age,Age
ship,freight,all,ship_lng,Yearly,Average_age,Age
ship,passenger,all,ship_lng,Yearly,Average_age,Age
ship,freight,all,ship_hydrogen,Yearly,Average_age,Age
ship,passenger,all,ship_hydrogen,Yearly,Average_age,Age
