Medium,Transport Type,Vehicle Type,Drive,Scenario,Frequency,Fuel,Supply_side_fuel_mixing,Demand_side_fuel_mixing
road,freight,ht,phev_d,Target,Yearly,16_06_biodiesel,New fuel,FALSE
road,freight,ht,phev_d,Target,Yearly,07_07_gas_diesel_oil,Original fuel,Original fuel
road,freight,ht,phev_g,Target,Yearly,17_electricity,FALSE,New fuel
road,freight,ht,phev_g,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,ht,phev_g,Target,Yearly,16_05_biogasoline,New fuel,FALSE
road,freight,ht,phev_g,Target,Yearly,07_01_motor_gasoline,Original fuel,Original fuel
road,freight,lcv,bev,Target,Yearly,17_electricity,FALSE,FALSE
road,freight,lcv,cng,Target,Yearly,16_01_biogas,New fuel,FALSE
road,freight,lcv,cng,Target,Yearly,08_01_natural_gas,Original fuel,FALSE
road,freight,lcv,fcev,Target,Yearly,16_x_hydrogen,FALSE,FALSE
road,freight,lcv,ice_d,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,lcv,ice_d,Target,Yearly,16_06_biodiesel,New fuel,FALSE
road,freight,lcv,ice_d,Target,Yearly,07_07_gas_diesel_oil,Original fuel,FALSE
road,freight,lcv,ice_g,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,lcv,ice_g,Target,Yearly,16_05_biogasoline,New fuel,FALSE
road,freight,lcv,ice_g,Target,Yearly,07_01_motor_gasoline,Original fuel,FALSE
road,freight,lcv,lpg,Target,Yearly,16_01_biogas,New fuel,FALSE
road,freight,lcv,lpg,Target,Yearly,07_09_lpg,Original fuel,FALSE
road,freight,lcv,phev_d,Target,Yearly,17_electricity,FALSE,New fuel
road,freight,lcv,phev_d,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,lcv,phev_d,Target,Yearly,16_06_biodiesel,New fuel,FALSE
road,freight,lcv,phev_d,Target,Yearly,07_07_gas_diesel_oil,Original fuel,Original fuel
road,freight,lcv,phev_g,Target,Yearly,17_electricity,FALSE,New fuel
road,freight,lcv,phev_g,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,lcv,phev_g,Target,Yearly,16_05_biogasoline,New fuel,FALSE
road,freight,lcv,phev_g,Target,Yearly,07_01_motor_gasoline,Original fuel,Original fuel
road,freight,mt,bev,Target,Yearly,17_electricity,FALSE,FALSE
road,freight,mt,cng,Target,Yearly,16_01_biogas,New fuel,FALSE
road,freight,mt,cng,Target,Yearly,08_01_natural_gas,Original fuel,FALSE
road,freight,mt,fcev,Target,Yearly,16_x_hydrogen,FALSE,FALSE
road,freight,mt,ice_d,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,mt,ice_d,Target,Yearly,16_06_biodiesel,New fuel,FALSE
road,freight,mt,ice_d,Target,Yearly,07_07_gas_diesel_oil,Original fuel,FALSE
road,freight,mt,ice_g,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,mt,ice_g,Target,Yearly,16_05_biogasoline,New fuel,FALSE
road,freight,mt,ice_g,Target,Yearly,07_01_motor_gasoline,Original fuel,FALSE
road,freight,mt,lpg,Target,Yearly,16_01_biogas,New fuel,FALSE
road,freight,mt,lpg,Target,Yearly,07_09_lpg,Original fuel,FALSE
road,freight,mt,phev_d,Target,Yearly,17_electricity,FALSE,New fuel
road,freight,mt,phev_d,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,mt,phev_d,Target,Yearly,16_06_biodiesel,New fuel,FALSE
road,freight,mt,phev_d,Target,Yearly,07_07_gas_diesel_oil,Original fuel,Original fuel
road,freight,mt,phev_g,Target,Yearly,17_electricity,FALSE,New fuel
road,freight,mt,phev_g,Target,Yearly,16_x_efuel,New fuel,FALSE
road,freight,mt,phev_g,Target,Yearly,16_05_biogasoline,New fuel,FALSE
road,freight,mt,phev_g,Target,Yearly,07_01_motor_gasoline,Original fuel,Original fuel
rail,freight,all,rail_diesel,Target,Yearly,16_x_efuel,New fuel,FALSE
rail,freight,all,rail_diesel,Target,Yearly,16_06_biodiesel,New fuel,FALSE
rail,freight,all,rail_diesel,Target,Yearly,07_07_gas_diesel_oil,Original fuel,FALSE
rail,freight,all,rail_electricity,Target,Yearly,17_electricity,FALSE,FALSE
rail,freight,all,rail_fuel_oil,Target,Yearly,07_08_fuel_oil,FALSE,FALSE
rail,freight,all,rail_gasoline,Target,Yearly,16_x_efuel,New fuel,FALSE
rail,freight,all,rail_gasoline,Target,Yearly,16_05_biogasoline,New fuel,FALSE
rail,freight,all,rail_gasoline,Target,Yearly,07_01_motor_gasoline,Original fuel,FALSE
rail,freight,all,rail_kerosene,Target,Yearly,16_x_efuel,New fuel,FALSE
rail,freight,all,rail_kerosene,Target,Yearly,16_07_bio_jet_kerosene,New fuel,FALSE
rail,freight,all,rail_kerosene,Target,Yearly,07_06_kerosene,Original fuel,FALSE
rail,freight,all,rail_lpg,Target,Yearly,16_01_biogas,New fuel,FALSE
rail,freight,all,rail_lpg,Target,Yearly,07_09_lpg,Original fuel,FALSE
ship,freight,all,ship_ammonia,Target,Yearly,16_x_ammonia,FALSE,FALSE
ship,freight,all,ship_diesel,Target,Yearly,16_x_efuel,New fuel,FALSE
ship,freight,all,ship_diesel,Target,Yearly,16_06_biodiesel,New fuel,FALSE
ship,freight,all,ship_diesel,Target,Yearly,07_07_gas_diesel_oil,Original fuel,FALSE
ship,freight,all,ship_fuel_oil,Target,Yearly,07_08_fuel_oil,Original fuel,FALSE
ship,freight,all,ship_fuel_oil,Target,Yearly,16_x_efuel,New fuel,FALSE
ship,freight,all,ship_fuel_oil,Target,Yearly,16_06_biodiesel,New fuel,FALSE
ship,freight,all,ship_gasoline,Target,Yearly,16_x_efuel,New fuel,FALSE
ship,freight,all,ship_gasoline,Target,Yearly,16_05_biogasoline,New fuel,FALSE
ship,freight,all,ship_gasoline,Target,Yearly,07_01_motor_gasoline,Original fuel,FALSE
ship,freight,all,ship_kerosene,Target,Yearly,16_x_efuel,New fuel,FALSE
ship,freight,all,ship_kerosene,Target,Yearly,16_07_bio_jet_kerosene,New fuel,FALSE
ship,freight,all,ship_kerosene,Target,Yearly,07_06_kerosene,Original fuel,FALSE
ship,freight,all,ship_lpg,Target,Yearly,16_01_biogas,New fuel,FALSE
ship,freight,all,ship_lpg,Target,Yearly,07_09_lpg,Original fuel,FALSE
rail,freight,all,rail_natural_gas,Target,Yearly,16_01_biogas,New fuel,FALSE
rail,freight,all,rail_natural_gas,Target,Yearly,08_01_natural_gas,Original fuel,FALSE
rail,passenger,all,rail_natural_gas,Target,Yearly,16_01_biogas,New fuel,FALSE
rail,passenger,all,rail_natural_gas,Target,Yearly,08_01_natural_gas,Original fuel,FALSE
ship,passenger,all,ship_electric,Target,Yearly,17_electricity,FALSE,FALSE
ship,freight,all,ship_electric,Target,Yearly,17_electricity,FALSE,FALSE
air,freight,all,air_electric,Target,Yearly,17_electricity,FALSE,FALSE
air,passenger,all,air_electric,Target,Yearly,17_electricity,FALSE,FALSE
air,freight,all,air_hydrogen,Target,Yearly,16_x_hydrogen,FALSE,FALSE
air,passenger,all,air_hydrogen,Target,Yearly,16_x_hydrogen,FALSE,FALSE
ship,freight,all,ship_lng,Target,Yearly,08_02_lng,Original fuel,FALSE
ship,freight,all,ship_lng,Target,Yearly,16_01_biogas,New fuel,FALSE
ship,passenger,all,ship_lng,Target,Yearly,08_02_lng,Original fuel,FALSE
ship,passenger,all,ship_lng,Target,Yearly,16_01_biogas,New fuel,FALSE
ship,freight,all,ship_hydrogen,Target,Yearly,16_x_hydrogen,FALSE,FALSE
ship,passenger,all,ship_hydrogen,Target,Yearly,16_x_hydrogen,FALSE,FALSE
